,dataset_id,hyperparameter_name,hyperparameter_value,seed,error_rate,runtime
0,40984,max_conf_interval_size_default,0.01,6,0.0635,11736.0
1,40984,max_conf_interval_size_default,0.01,1,0.0601,10283.0
2,40984,max_conf_interval_size_default,0.01,5,0.061,10776.0
3,40984,max_conf_interval_size_default,0.01,8,0.0603,8511.0
4,40984,max_conf_interval_size_default,0.01,2,0.062,9217.0
5,40984,max_conf_interval_size_default,0.01,0,0.0607,9040.0
6,40984,max_conf_interval_size_default,0.01,7,0.058,11124.0
7,40984,max_conf_interval_size_default,0.01,3,0.0598,8983.0
8,40984,max_conf_interval_size_default,0.01,9,0.0598,11849.0
9,40984,max_conf_interval_size_default,0.01,4,0.0587,9901.0
10,40984,max_conf_interval_size_default,0.04,6,0.059,9540.0
11,40984,max_conf_interval_size_default,0.04,1,0.0623,8786.0
12,40984,max_conf_interval_size_default,0.04,5,0.0603,8385.0
13,40984,max_conf_interval_size_default,0.04,8,0.0603,6402.0
14,40984,max_conf_interval_size_default,0.04,2,0.0643,7345.0
15,40984,max_conf_interval_size_default,0.04,0,0.061,6792.0
16,40984,max_conf_interval_size_default,0.04,7,0.0596,8465.0
17,40984,max_conf_interval_size_default,0.04,3,0.0591,6767.0
18,40984,max_conf_interval_size_default,0.04,9,0.0523,8704.0
19,40984,max_conf_interval_size_default,0.04,4,0.0587,7516.0
20,40984,max_conf_interval_size_default,0.07,0,0.0655,6059.0
21,40984,max_conf_interval_size_default,0.07,7,0.0608,7539.0
22,40984,max_conf_interval_size_default,0.07,3,0.0673,6265.0
23,40984,max_conf_interval_size_default,0.07,9,0.0609,8305.0
24,40984,max_conf_interval_size_default,0.07,4,0.0603,6550.0
25,40984,max_conf_interval_size_default,0.07,6,0.0632,8662.0
26,40984,max_conf_interval_size_default,0.07,1,0.0756,7203.0
27,40984,max_conf_interval_size_default,0.07,5,0.0613,7699.0
28,40984,max_conf_interval_size_default,0.07,8,0.0592,5572.0
29,40984,max_conf_interval_size_default,0.07,2,0.0607,6751.0
30,40984,max_conf_interval_size_default,0.1,0,0.0597,6025.0
31,40984,max_conf_interval_size_default,0.1,7,0.0608,7164.0
32,40984,max_conf_interval_size_default,0.1,9,0.052,7747.0
33,40984,max_conf_interval_size_default,0.1,3,0.0673,5591.0
34,40984,max_conf_interval_size_default,0.1,4,0.0629,6314.0
35,40984,max_conf_interval_size_default,0.1,6,0.0632,8278.0
36,40984,max_conf_interval_size_default,0.1,1,0.0624,6918.0
37,40984,max_conf_interval_size_default,0.1,5,0.0606,7545.0
38,40984,max_conf_interval_size_default,0.1,2,0.0607,6487.0
39,40984,max_conf_interval_size_default,0.1,8,0.0629,5815.0
40,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.01,8,0.0629,5454.0
41,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.01,2,0.0642,6452.0
42,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.01,5,0.0643,7804.0
43,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.01,1,0.0624,6978.0
44,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.01,6,0.059,8416.0
45,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.01,4,0.0603,6138.0
46,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.01,3,0.0673,5502.0
47,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.01,9,0.0622,7635.0
48,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.01,7,0.0585,7183.0
49,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.01,0,0.0597,5737.0
50,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.01,3,0.0673,5563.0
51,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.01,9,0.052,7536.0
52,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.01,4,0.0629,6179.0
53,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.01,0,0.0597,5954.0
54,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.01,7,0.0608,7216.0
55,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.01,5,0.0606,7670.0
56,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.01,8,0.0603,5451.0
57,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.01,2,0.0607,6427.0
58,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.01,6,0.0607,8434.0
59,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.01,1,0.0624,6814.0
60,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.1,6,0.0632,8905.0
61,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.1,1,0.0624,7675.0
62,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.1,5,0.0606,7876.0
63,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.1,2,0.0607,6880.0
64,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.1,8,0.0629,5916.0
65,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.1,0,0.0597,6426.0
66,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.1,7,0.0608,7643.0
67,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.1,9,0.052,8479.0
68,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.1,3,0.0673,6128.0
69,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.1,4,0.0629,6489.0
70,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.04,5,0.0584,7847.0
71,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.04,8,0.0621,5532.0
72,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.04,2,0.0642,6499.0
73,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.04,6,0.0621,7902.0
74,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.04,1,0.0624,6914.0
75,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.04,3,0.0673,5393.0
76,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.04,9,0.0622,7508.0
77,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.04,4,0.0603,6035.0
78,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.04,0,0.0597,5846.0
79,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.04,7,0.0585,7223.0
80,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.04,2,0.0607,6565.0
81,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.04,8,0.0629,5786.0
82,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.04,5,0.0606,7469.0
83,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.04,1,0.0624,7052.0
84,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.04,6,0.0632,8515.0
85,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.04,4,0.0629,6373.0
86,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.04,9,0.052,7696.0
87,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.04,3,0.0673,5848.0
88,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.04,7,0.0608,7262.0
89,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.04,0,0.0597,6274.0
90,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.1,7,0.0585,7156.0
91,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.1,0,0.0597,5956.0
92,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.1,4,0.0603,5932.0
93,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.1,3,0.0673,5422.0
94,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.1,9,0.0677,7508.0
95,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.1,1,0.0636,6994.0
96,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.1,6,0.0621,7905.0
97,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.1,8,0.0621,5487.0
98,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.1,2,0.0642,6587.0
99,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.1,5,0.0584,7760.0
100,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.07,2,0.0642,6590.0
101,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.07,8,0.0621,5535.0
102,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.07,5,0.0584,7801.0
103,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.07,1,0.0636,6832.0
104,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.07,6,0.0621,7883.0
105,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.07,4,0.0603,5989.0
106,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.07,9,0.0677,7523.0
107,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.07,3,0.0673,5422.0
108,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.07,7,0.0585,7156.0
109,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,-0.07,0,0.0597,5811.0
110,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.07,3,0.0673,5854.0
111,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.07,9,0.052,8077.0
112,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.07,4,0.0629,6415.0
113,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.07,0,0.0597,6373.0
114,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.07,7,0.0608,7267.0
115,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.07,5,0.0606,7780.0
116,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.07,8,0.0629,5867.0
117,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.07,2,0.0607,6720.0
118,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.07,6,0.0632,8665.0
119,40984,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.07,1,0.0624,7524.0
120,40984,return_estimate_on_incomplete_runs,True,6,0.0632,8304.0
121,40984,return_estimate_on_incomplete_runs,True,1,0.0624,7004.0
122,40984,return_estimate_on_incomplete_runs,True,5,0.0606,7530.0
123,40984,return_estimate_on_incomplete_runs,True,8,0.0629,5694.0
124,40984,return_estimate_on_incomplete_runs,True,2,0.0607,6521.0
125,40984,return_estimate_on_incomplete_runs,True,0,0.0597,5983.0
126,40984,return_estimate_on_incomplete_runs,True,7,0.0608,7168.0
127,40984,return_estimate_on_incomplete_runs,True,3,0.0673,5566.0
128,40984,return_estimate_on_incomplete_runs,True,9,0.052,7707.0
129,40984,return_estimate_on_incomplete_runs,True,4,0.0629,6342.0
130,40984,return_estimate_on_incomplete_runs,False,1,0.0624,7103.0
131,40984,return_estimate_on_incomplete_runs,False,6,0.0632,8383.0
132,40984,return_estimate_on_incomplete_runs,False,2,0.0607,6460.0
133,40984,return_estimate_on_incomplete_runs,False,8,0.0629,5656.0
134,40984,return_estimate_on_incomplete_runs,False,5,0.0606,7525.0
135,40984,return_estimate_on_incomplete_runs,False,7,0.0608,7159.0
136,40984,return_estimate_on_incomplete_runs,False,0,0.0597,5977.0
137,40984,return_estimate_on_incomplete_runs,False,4,0.0629,6294.0
138,40984,return_estimate_on_incomplete_runs,False,9,0.052,7671.0
139,40984,return_estimate_on_incomplete_runs,False,3,0.0673,5702.0
140,40984,base,4,7,0.058,9168.0
141,40984,base,4,0,0.0716,7689.0
142,40984,base,4,4,0.0587,7832.0
143,40984,base,4,9,0.0647,9275.0
144,40984,base,4,3,0.0674,6838.0
145,40984,base,4,1,0.0614,9238.0
146,40984,base,4,6,0.069,9437.0
147,40984,base,4,2,0.0629,7906.0
148,40984,base,4,8,0.0642,6174.0
149,40984,base,4,5,0.0591,8391.0
150,40984,base,3,9,0.0773,9644.0
