openmlid,learner,train_size,seed,traintime,error_rate
1457,<class 'sklearn.svm._classes.LinearSVC'>,2,0,51,0.964619492656876
1457,<class 'sklearn.svm._classes.LinearSVC'>,4,0,34,0.9545454545454546
1457,<class 'sklearn.svm._classes.LinearSVC'>,8,0,47,0.9329758713136728
1457,<class 'sklearn.svm._classes.LinearSVC'>,16,0,73,0.9245283018867924
1457,<class 'sklearn.svm._classes.LinearSVC'>,32,0,186,0.9025885558583108
1457,<class 'sklearn.svm._classes.LinearSVC'>,64,0,524,0.8537604456824512
1457,<class 'sklearn.svm._classes.LinearSVC'>,128,0,1022,0.7419825072886297
1457,<class 'sklearn.svm._classes.LinearSVC'>,256,0,2526,0.6125401929260451
1457,<class 'sklearn.svm._classes.LinearSVC'>,512,0,5685,0.4564777327935222
1457,<class 'sklearn.svm._classes.LinearSVC'>,1024,0,12140,0.2878151260504201
1457,<class 'sklearn.tree._classes.DecisionTreeClassifier'>,2,0,57,0.9779706275033376
1457,<class 'sklearn.tree._classes.DecisionTreeClassifier'>,4,0,96,0.97927807486631
1457,<class 'sklearn.tree._classes.DecisionTreeClassifier'>,8,0,82,0.9792225201072386
1457,<class 'sklearn.tree._classes.DecisionTreeClassifier'>,16,0,93,0.9804582210242588
1457,<class 'sklearn.tree._classes.DecisionTreeClassifier'>,32,0,101,0.9618528610354224
1457,<class 'sklearn.tree._classes.DecisionTreeClassifier'>,64,0,133,0.9408077994428968
1457,<class 'sklearn.tree._classes.DecisionTreeClassifier'>,128,0,260,0.8695335276967929
1457,<class 'sklearn.tree._classes.DecisionTreeClassifier'>,256,0,542,0.7596463022508039
1457,<class 'sklearn.tree._classes.DecisionTreeClassifier'>,512,0,1279,0.6771255060728745
1457,<class 'sklearn.tree._classes.DecisionTreeClassifier'>,1024,0,3240,0.5651260504201681
1457,<class 'sklearn.tree._classes.ExtraTreeClassifier'>,2,0,89,0.9726301735647528
1457,<class 'sklearn.tree._classes.ExtraTreeClassifier'>,4,0,98,0.9766042780748664
1457,<class 'sklearn.tree._classes.ExtraTreeClassifier'>,8,0,84,0.9792225201072386
1457,<class 'sklearn.tree._classes.ExtraTreeClassifier'>,16,0,86,0.9858490566037736
1457,<class 'sklearn.tree._classes.ExtraTreeClassifier'>,32,0,73,0.9727520435967304
