"openmlid";"avg_error_lccv";"avg_error_10cv";"avg_runtime_lccv";"avg_runtime_10cv";"count(runtime_lccv)";"count(runtime_10cv)"
"1457";"0.263";"0.255";"29529";"39151";"8";"8"
"1468";"0.040";"0.041";"6716";"7107";"10";"10"
"1475";"0.369";"0.365";"7790";"13374";"10";"10"
"1485";"0.259";"0.245";"6059";"9725";"10";"10"
"1486";"0.053";"0.052";"27173";"29520";"10";"10"
"1489";"0.078";"0.079";"3306";"4589";"10";"10"
"1515";"0.100";"0.095";"5456";"6406";"9";"9"
"1590";"0.161";"0.159";"22316";"20460";"10";"10"
"4134";"0.194";"0.194";"15123";"19494";"10";"10"
"4135";"0.049";"0.052";"17473";"22051";"10";"10"
"4534";"0.028";"0.028";"9225";"12425";"10";"10"
"4538";"0.302";"0.302";"9323";"11866";"10";"10"
"4541";"0.424";"0.423";"30786";"45394";"10";"10"
"23512";"0.286";"0.287";"8849";"12666";"10";"10"
"23517";"0.480";"0.479";"23154";"25829";"10";"10"
"40498";"0.296";"0.297";"3849";"7236";"9";"9"
"40670";"0.036";"0.036";"9807";"12458";"10";"10"
"40685";"0.000";"0.000";"12308";"18387";"10";"10"
"40701";"0.048";"0.048";"4024";"3046";"10";"10"
"40900";"0.008";"0.014";"1509";"3063";"10";"10"
"40978";"0.035";"0.045";"36379";"32430";"10";"10"
"40981";"0.131";"0.128";"913";"839";"10";"10"
"40982";"0.207";"0.207";"5337";"5244";"9";"9"
"40983";"0.016";"0.016";"2312";"2204";"10";"10"
"40984";"0.058";"0.060";"3299";"5919";"8";"8"
"40996";"0.116";"0.117";"31042";"49203";"9";"9"
"41027";"0.154";"0.155";"9104";"15681";"9";"9"
"41142";"0.279";"0.278";"14830";"32336";"1";"1"
"41161";"0.034";"0.004";"42423";"50418";"8";"8"
"41162";"0.038";"0.038";"6715";"6266";"9";"9"
"41163";"0.019";"0.027";"29257";"46078";"6";"6"
"41164";"0.293";"0.285";"22009";"27017";"2";"2"
"41165";"0.568";"0.560";"36006";"57128";"3";"3"
"41166";"0.333";"0.329";"26857";"40204";"1";"1"
"41168";"0.295";"0.305";"19574";"34816";"2";"2"
"41169";"0.646";"0.645";"20621";"38137";"1";"1"
"42732";"0.113";"0.112";"58628";"58484";"1";"1"
"42733";"0.168";"0.171";"26857";"29019";"8";"8"
"42734";"0.267";"0.265";"10965";"8167";"8";"8"
