"experiment_id";"openmlid";"algorithm";"timeout";"numpipelines";"prob_dp";"prob_fp";"seed";"cpus";"memory_max";"time_created";"host";"executor";"time_started";"chosenmodel";"errorrate";"validationscores";"runtime";"exception";"time_end"
"1";"1485";"5cv";"300";"200";"0.5";"0.5";"0";"4";"16000";"2021-08-18 22:04:58";"node02-015";"oculus-8602686-92";"2021-08-20 01:38:48";"[('data-pre-processor', RobustScaler(copy=False,              quantile_range=(0.2611336323257989, 0.9326688685340053))), ('predictor', RandomForestClassifier(bootstrap=False, criterion='entropy', max_features=127,                        min_samples_leaf=3, min_samples_split=14,                        n_estimators=512, warm_start=True))]";"0.1375";"[0.1346,0.1365,0.1346,0.1692,0.1481,0.1135,0.1212,0.1346,0.1346,0.1038,0.1385,0.1096,0.1288,0.1423,0.1769,0.1385,0.1462,0.125,0.1192,0.1288,0.1231,0.1327,0.1423,0.1462,0.1231,0.1538,0.15,0.0981,0.1308,0.1423,0.1154,0.1192,0.1673,0.1269,0.1462,0.125,0.1442,0.1423,0.1385,0.1442,0.1288,0.1288,0.15,0.1538,0.15,0.1231,0.1481,0.1192,0.1288,0.1519,0.1269,0.1308,0.1212,0.1385,0.1712,0.1442,0.1615,0.1385,0.1327,0.1327,0.1462,0.1635,0.125,0.1365,0.1558,0.1058,0.1346,0.1481,0.1365,0.1423,0.15,0.1365,0.1519,0.1231,0.1308,0.1231,0.1442,0.1231,0.1385,0.1231,0.1558,0.1192,0.1212,0.1596,0.1308,0.1519,0.1269,0.1558,0.1423,0.1442,0.1481,0.1365,0.1173,0.1385,0.1385,0.1596,0.1346,0.1558,0.1308,0.1635]";"14827";NULL;"2021-08-20 08:50:48"
"2";"1485";"5cv";"300";"200";"0.5";"0.5";"1";"4";"16000";"2021-08-18 22:04:58";"node02-027";"oculus-8602174-5";"2021-08-19 00:14:30";"[('feature-pre-processor', FeatureAgglomeration(n_clusters=47,                      pooling_func=<function median at 0x2aaaaff12ea0>)), ('predictor', RandomForestClassifier(max_features=24, min_samples_leaf=6, min_samples_split=6,                        n_estimators=512, warm_start=True))]";"0.1469";"[0.1615,0.1442,0.1308,0.1788,0.1635,0.1231,0.1346,0.1404,0.125,0.1173,0.1404,0.1135,0.1538,0.1481,0.1942,0.1481,0.1635,0.1442,0.1154,0.1462,0.125,0.1327,0.1577,0.1654,0.15,0.1635,0.1558,0.1115,0.1288,0.1462,0.1288,0.1481,0.1654,0.1481,0.15,0.1269,0.1558,0.1404,0.1538,0.1596,0.1327,0.1385,0.1558,0.1673,0.1558,0.1404,0.1481,0.1327,0.1538,0.15,0.1538,0.1327,0.1327,0.1269,0.1808,0.1481,0.1654,0.1346,0.1327,0.1385,0.1712,0.1827,0.1385,0.1423,0.1558,0.1173,0.1481,0.1519,0.1462,0.1558,0.1538,0.1462,0.15,0.1308,0.1596,0.1462,0.1442,0.1308,0.1481,0.125,0.1712,0.1462,0.1269,0.1731,0.1346,0.1462,0.1423,0.1654,0.1635,0.1404,0.1654,0.1654,0.1269,0.15,0.15,0.1558,0.1308,0.1769,0.1327,0.1654]";"13521";NULL;"2021-08-19 04:16:57"
"3";"1485";"10cv";"300";"200";"0.5";"0.5";"0";"4";"16000";"2021-08-18 22:04:58";"node08-019";"oculus-8602174-140";"2021-08-19 03:02:37";"[('data-pre-processor', RobustScaler(copy=False,              quantile_range=(0.2611336323257989, 0.9326688685340053))), ('predictor', RandomForestClassifier(bootstrap=False, criterion='entropy', max_features=127,                        min_samples_leaf=3, min_samples_split=14,                        n_estimators=512, warm_start=True))]";"0.1308";"[0.1385,0.1115,0.1115,0.1769,0.1654,0.1154,0.1077,0.1269,0.1346,0.1077,0.1231,0.0923,0.1308,0.1423,0.1962,0.1308,0.1269,0.1154,0.1192,0.1077,0.1231,0.1192,0.1538,0.1538,0.1231,0.1538,0.1654,0.1038,0.1231,0.1538,0.1308,0.1,0.1577,0.1346,0.1346,0.1077,0.1346,0.1346,0.1462,0.1038,0.1231,0.1269,0.1538,0.1769,0.1462,0.1077,0.1269,0.1038,0.1192,0.1462,0.1538,0.1346,0.1308,0.0962,0.1615,0.1462,0.1846,0.1231,0.0885,0.1654,0.1538,0.1423,0.1192,0.15,0.15,0.0923,0.1231,0.1462,0.1462,0.1577,0.1269,0.1385,0.15,0.1115,0.1231,0.1231,0.1192,0.1154,0.1231,0.1231,0.1577,0.1077,0.1115,0.1423,0.1038,0.1192,0.1231,0.1077,0.1,0.1346,0.1269,0.1269,0.1115,0.1231,0.1308,0.1346,0.1385,0.1231,0.1115,0.1577]";"30755";NULL;"2021-08-19 15:04:17"
"4";"1590";"5cv";"300";"200";"0.5";"0.5";"0";"4";"16000";"2021-08-18 22:04:58";"node01-014";"oculus-8602174-53";"2021-08-19 01:37:23";"[('predictor', SGDClassifier(alpha=0.00015451322954420277, average=True,               epsilon=0.00032589017571438967, eta0=0.01,               l1_ratio=1.7182183751231886e-06, loss='modified_huber',               max_iter=1024, penalty='elasticnet', tol=0.00026018133053737954,               warm_start=True))]";"0.1588";"[0.1591,0.1575,0.1576,0.1582,0.1572,0.1589,0.1611,0.1605,0.156,0.1644,0.1591,0.1624,0.1613,0.1549,0.1672,0.162,0.1628,0.1585,0.155,0.1529,0.1562,0.1589,0.1606,0.1566,0.1598,0.1607,0.1591,0.1601,0.1581,0.1575,0.1586,0.1591,0.1546,0.16,0.1625,0.1582,0.1573,0.1589,0.1637,0.1552,0.1556,0.1566,0.1575,0.1588,0.154,0.1605,0.1586,0.1514,0.1611,0.1583,0.1608,0.1529,0.1587,0.1605,0.1635,0.161,0.1502,0.1576,0.1566,0.1545,0.1531,0.1605,0.1555,0.1559,0.149,0.1638,0.16,0.1581,0.1615,0.1605,0.1577,0.1549,0.1653,0.1641,0.159,0.1589,0.1592,0.159,0.1582,0.1558,0.1636,0.1605,0.1636,0.1705,0.1627,0.1594,0.1538,0.1565,0.1594,0.1614,0.1545,0.1554,0.1591,0.16,0.1605,0.1561,0.1598,0.1566,0.1593,0.1639]";"14564";NULL;"2021-08-19 05:42:14"
"5";"1485";"10cv";"300";"200";"0.5";"0.5";"1";"4";"16000";"2021-08-18 22:04:58";"node05-022";"oculus-8602174-111";"2021-08-19 00:41:31";"[('predictor', HistGradientBoostingClassifier(early_stopping=False,                                l2_regularization=1.2398258181167904e-09,                                learning_rate=0.019591400912192903, max_iter=512,                                max_leaf_nodes=76, min_samples_leaf=2,                                n_iter_no_change=0, validation_fraction=None,                                warm_start=True))]";"0.148";"[0.1538,0.1269,0.1346,0.1885,0.1577,0.1308,0.1115,0.1308,0.1346,0.1308,0.1269,0.1269,0.1654,0.1692,0.2154,0.1808,0.15,0.1346,0.15,0.1115,0.1462,0.1462,0.1731,0.1538,0.1462,0.1808,0.2077,0.1115,0.1308,0.1885,0.1423,0.1231,0.1423,0.15,0.1462,0.1077,0.1615,0.1423,0.15,0.1615,0.1423,0.1308,0.1769,0.1731,0.1462,0.15,0.1308,0.1077,0.1692,0.1462,0.1846,0.1385,0.1346,0.1038,0.1577,0.1462,0.1769,0.1423,0.1231,0.1692,0.1538,0.1423,0.1231,0.1731,0.1385,0.1423,0.1385,0.1269,0.1769,0.1808,0.1462,0.1385,0.1731,0.1538,0.15,0.1577,0.1692,0.1346,0.1269,0.1308,0.1615,0.1346,0.15,0.1731,0.1346,0.1423,0.1577,0.1269,0.1423,0.1769,0.15,0.1615,0.1192,0.1308,0.1538,0.1346,0.1269,0.1423,0.1269,0.1808]";"30767";NULL;"2021-08-19 12:24:50"
"6";"1485";"5cv";"300";"200";"0.5";"0.5";"2";"4";"16000";"2021-08-18 22:04:58";"node12-045";"oculus-8602174-23";"2021-08-19 00:14:30";"[('predictor', RandomForestClassifier(bootstrap=False, criterion='entropy', max_features=204,                        min_samples_leaf=20, min_samples_split=11,                        n_estimators=512, warm_start=True))]";"0.1542";"[0.15,0.1615,0.1577,0.1827,0.1596,0.1423,0.1423,0.1519,0.1538,0.1231,0.1519,0.1288,0.1462,0.1442,0.1962,0.175,0.1692,0.1481,0.1442,0.1519,0.1423,0.1385,0.2,0.1558,0.1308,0.1712,0.1558,0.1154,0.1404,0.1577,0.1269,0.1365,0.1904,0.1577,0.1673,0.1423,0.1538,0.1442,0.1654,0.1596,0.1423,0.1135,0.1731,0.1615,0.1712,0.1327,0.1635,0.1192,0.1577,0.1596,0.1288,0.1308,0.1538,0.1365,0.2096,0.1596,0.1731,0.1635,0.1481,0.1327,0.1654,0.1808,0.125,0.1365,0.1865,0.1173,0.1538,0.1635,0.1558,0.1519,0.175,0.1423,0.1615,0.1346,0.1519,0.1404,0.1577,0.1519,0.1558,0.1385,0.1673,0.1519,0.1404,0.1904,0.1404,0.1981,0.1481,0.1596,0.1558,0.1538,0.1615,0.1462,0.1442,0.1654,0.15,0.1769,0.1385,0.1865,0.1596,0.1712]";"17030";NULL;"2021-08-19 08:01:40"
"7";"1590";"5cv";"300";"200";"0.5";"0.5";"1";"4";"16000";"2021-08-18 22:04:58";"node07-004";"oculus-8602174-95";"2021-08-19 01:37:24";"[('predictor', PassiveAggressiveClassifier(C=0.40234481827608315, average=True, max_iter=1024,                             tol=0.00027198143746106767, warm_start=True))]";"0.1587";"[0.1592,0.1576,0.1571,0.1572,0.1564,0.1585,0.161,0.1591,0.1562,0.1631,0.1586,0.1611,0.1608,0.1554,0.1668,0.1628,0.1632,0.1578,0.1549,0.154,0.1563,0.1598,0.159,0.1562,0.1605,0.1611,0.1598,0.1596,0.1577,0.1571,0.1596,0.1589,0.1551,0.1583,0.1633,0.1583,0.1573,0.1596,0.1634,0.1558,0.1555,0.1566,0.157,0.1599,0.1548,0.1612,0.1578,0.1519,0.1614,0.1569,0.1608,0.1525,0.1587,0.1606,0.1634,0.1598,0.1514,0.1575,0.1566,0.155,0.1536,0.1603,0.1546,0.1552,0.1491,0.1647,0.1604,0.1587,0.1621,0.1612,0.1571,0.1553,0.1647,0.163,0.1581,0.1579,0.1594,0.159,0.1572,0.1552,0.1633,0.1611,0.1656,0.1698,0.1628,0.1615,0.1528,0.1569,0.1588,0.1618,0.1551,0.1554,0.1578,0.1589,0.159,0.1563,0.1601,0.1579,0.1589,0.1636]";"16187";NULL;"2021-08-19 06:08:25"
"8";"1590";"10cv";"300";"200";"0.5";"0.5";"0";"4";"16000";"2021-08-18 22:04:58";"node09-024";"oculus-8602174-136";"2021-08-19 03:02:36";"[('predictor', SGDClassifier(alpha=0.00015451322954420277, average=True,               epsilon=0.00032589017571438967, eta0=0.01,               l1_ratio=1.7182183751231886e-06, loss='modified_huber',               max_iter=1024, penalty='elasticnet', tol=0.00026018133053737954,               warm_start=True))]";"0.1584";"[0.1554,0.1511,0.1554,0.1531,0.1595,0.156,0.1595,0.1621,0.158,0.1662,0.155,0.1625,0.1582,0.1539,0.1591,0.1625,0.1611,0.1599,0.1474,0.1582,0.1609,0.158,0.1586,0.1603,0.1496,0.1662,0.1617,0.1601,0.1584,0.1595,0.1636,0.1613,0.1599,0.1632,0.1599,0.1644,0.1627,0.1603,0.1648,0.1541,0.158,0.1509,0.1531,0.1597,0.1568,0.1537,0.1607,0.1564,0.1691,0.1562,0.1554,0.1523,0.1629,0.1699,0.1634,0.1609,0.1447,0.1591,0.158,0.1527,0.1511,0.1601,0.1509,0.1531,0.1546,0.1662,0.1627,0.1574,0.157,0.1554,0.1586,0.1558,0.1629,0.1632,0.1597,0.1533,0.1578,0.1519,0.1574,0.1586,0.1652,0.1642,0.1582,0.1763,0.1629,0.1599,0.1584,0.1572,0.1556,0.1607,0.1509,0.1474,0.1578,0.157,0.1586,0.155,0.1574,0.1507,0.1568,0.1644]";"27728";NULL;"2021-08-19 10:46:44"
"9";"1485";"80lccv-flex";"300";"200";"0.5";"0.5";"0";"4";"16000";"2021-08-18 22:04:58";"node11-017";"oculus-8602174-182";"2021-08-19 02:05:05";"[('predictor', RandomForestClassifier(bootstrap=False, criterion='entropy', max_features=144,                        min_samples_leaf=11, min_samples_split=10,                        n_estimators=512, warm_start=True))]";"0.143";"[0.1462,0.1519,0.1365,0.1731,0.1577,0.1269,0.1346,0.1404,0.1327,0.0981,0.1462,0.1212,0.1423,0.1462,0.1865,0.1519,0.1615,0.1346,0.1308,0.1404,0.1173,0.1327,0.1538,0.1538,0.1212,0.1538,0.15,0.1115,0.125,0.1481,0.1096,0.1269,0.1692,0.1481,0.1538,0.1308,0.1423,0.1365,0.1462,0.1423,0.1327,0.1212,0.1538,0.1654,0.1577,0.1288,0.1596,0.1212,0.1365,0.1462,0.1327,0.1269,0.1365,0.1404,0.1846,0.1519,0.1577,0.1442,0.1365,0.1231,0.1596,0.1731,0.1212,0.1365,0.1654,0.1212,0.1462,0.15,0.1538,0.1404,0.1423,0.1346,0.1558,0.1346,0.1404,0.1269,0.1404,0.1404,0.1462,0.1423,0.175,0.1404,0.1346,0.1731,0.1365,0.1481,0.1346,0.1635,0.1423,0.1365,0.1538,0.125,0.1404,0.1442,0.1423,0.1654,0.125,0.1654,0.1365,0.1577]";"8847";NULL;"2021-08-19 07:33:41"
"10";"1515";"5cv";"300";"200";"0.5";"0.5";"0";"4";"16000";"2021-08-18 22:04:58";"node04-010";"oculus-8602174-32";"2021-08-19 00:30:01";"[('data-pre-processor', QuantileTransformer(n_quantiles=407, output_distribution='normal')), ('predictor', SVC(C=21382.12228169795, coef0=-0.46873490491710545,     gamma=3.6119982496978236e-05, kernel='sigmoid', max_iter=-1.0,     probability=True, tol=0.00045189102432366136))]";"0.0649";"[0.0348,0.113,0.0783,0.1043,0.1478,0.0783,0.1043,0.0609,0.0696,0.0783,0.0522,0.0435,0.0435,0.1043,0.0696,0.0696,0.0522,0.0261,0.0783,0.0696,0.0783,0.0783,0.0696,0.0609,0.087,0.1043,0.0609,0.0261,0.0348,0.0522,0.0435,0.0261,0.0696,0.0957,0.0783,0.0957,0.0609,0.0783,0.0522,0.0522,0.0783,0.0522,0.0957,0.0348,0.0609,0.0522,0.0609,0.087,0.0435,0.0087,0.087,0.0435,0.0783,0.0609,0.0522,0.0783,0.0435,0.0783,0.0696,0.0261,0.0522,0.0696,0.0957,0.0348,0.087,0.0609,0.0609,0.0609,0.0609,0.0609,0.0435,0.0261,0.0435,0.087,0.087,0.0522,0.087,0.0696,0.0435,0.0783,0.0609,0.087,0.0609,0.0348,0.0783,0.1043,0.0609,0.0696,0.0435,0.0261,0.0522,0.0696,0.0435,0.0174,0.0609,0.087,0.0609,0.0783,0.0696,0.087]";"16205";NULL;"2021-08-19 05:07:16"
