"openmlid";"algorithm";"seed";"chosenmodel";"errorrate";"runtime"
"1485";"10cv-adaptive";"0";"DecisionTreeClassifier";"0.2445";"10442"
"1485";"10cv-adaptive";"1";"DecisionTreeClassifier";"0.2396";"10018"
"1590";"10cv-adaptive";"0";"LinearSVC";"0.1618";"23116"
"1590";"10cv-adaptive";"1";"LinearSVC";"0.1618";"21016"
"1515";"10cv-adaptive";"0";"RandomForestClassifier";"0.1167";"6768"
"1485";"10cv-adaptive";"2";"DecisionTreeClassifier";"0.2418";"9869"
"1590";"10cv-adaptive";"2";"LinearSVC";"0.1618";"21144"
"1457";"10cv-adaptive";"0";"LinearSVC";"0.2567";"39560"
"1485";"10cv-adaptive";"3";"DecisionTreeClassifier";"0.2407";"10015"
"1485";"10cv-adaptive";"4";"DecisionTreeClassifier";"0.2416";"10008"
"1590";"10cv-adaptive";"3";"LinearSVC";"0.1618";"20521"
"1515";"10cv-adaptive";"2";"RandomForestClassifier";"0.1174";"6584"
"1475";"10cv-adaptive";"0";"RandomForestClassifier";"0.3682";"13526"
"1457";"10cv-adaptive";"2";"LinearSVC";"0.2565";"38380"
"1590";"10cv-adaptive";"4";"LinearSVC";"0.1618";"21741"
"1515";"10cv-adaptive";"3";"RandomForestClassifier";"0.1147";"6311"
"1475";"10cv-adaptive";"1";"RandomForestClassifier";"0.3693";"13541"
"1468";"10cv-adaptive";"0";"MLPClassifier";"0.0396";"7313"
"1485";"10cv-adaptive";"5";"DecisionTreeClassifier";"0.2426";"12108"
"1457";"10cv-adaptive";"3";"LinearSVC";"0.2565";"39473"
"1590";"10cv-adaptive";"5";"LinearSVC";"0.1618";"21558"
"1475";"10cv-adaptive";"2";"RandomForestClassifier";"0.369";"13179"
"1485";"10cv-adaptive";"6";"DecisionTreeClassifier";"0.2423";"9907"
"1468";"10cv-adaptive";"1";"MLPClassifier";"0.0399";"7180"
"1515";"10cv-adaptive";"4";"RandomForestClassifier";"0.1209";"6636"
"1486";"10cv-adaptive";"1";"RandomForestClassifier";"0.0526";"29778"
"1485";"10cv-adaptive";"7";"DecisionTreeClassifier";"0.2427";"10091"
"1489";"10cv-adaptive";"0";"ExtraTreesClassifier";"0.0827";"4809"
"1590";"10cv-adaptive";"6";"LinearSVC";"0.1618";"21046"
"1468";"10cv-adaptive";"2";"MLPClassifier";"0.0404";"7162"
"1475";"10cv-adaptive";"3";"RandomForestClassifier";"0.3678";"13405"
"1457";"10cv-adaptive";"4";"LinearSVC";"0.2566";"41111"
"1489";"10cv-adaptive";"1";"ExtraTreesClassifier";"0.0823";"4925"
"23512";"10cv-adaptive";"0";"GradientBoostingClassifier";"0.2894";"13064"
"1485";"10cv-adaptive";"8";"DecisionTreeClassifier";"0.2388";"10604"
"1468";"10cv-adaptive";"3";"MLPClassifier";"0.0409";"7000"
"1515";"10cv-adaptive";"6";"RandomForestClassifier";"0.1202";"6653"
